field,match,mismatch,accuracy
Consequence,2920,0,100.00
IMPACT,2920,0,100.00
SYMBOL,2920,0,100.00
Gene,2920,0,100.00
Feature,2920,0,100.00
BIOTYPE,2920,0,100.00
EXON,2920,0,100.00
INTRON,2920,0,100.00
HGVSc,2920,0,100.00
HGVSp,2920,0,100.00
cDNA_position,2920,0,100.00
CDS_position,2920,0,100.00
Protein_position,2920,0,100.00
Amino_acids,2920,0,100.00
Codons,2920,0,100.00
DISTANCE,2920,0,100.00
STRAND,2920,0,100.00
FLAGS,2920,0,100.00
CANONICAL,2920,0,100.00
SYMBOL_SOURCE,2920,0,100.00
HGNC_ID,2920,0,100.00
APPRIS,2920,0,100.00
